Monitoring Location Latitude,Monitoring Location Longitude
41.7883,-81.945
42.1,-82
41.8,-82
43.257,-82.038
41.965,-82.0417
43.3,-82.1
42.195,-82.183
42.1,-82.183
41.908,-82.183
41.717,-82.183
41.575,-82.183
41.483,-82.183
42.1,-82.3
41.8,-82.3
41.5,-82.3
43.09,-82.392
43.6,-82.4
43.3,-82.4
43.567,-82.485
41.5,-82.5
43.342,-82.507
43.753,-82.568
41.5,-82.6
41.983,-82.625
43.9,-82.7
41.469,-82.714
41.742,-82.733
44.1,-82.867
41.8,-82.9
41.685,-82.9333
41.825,-82.975
43.9,-83
41.95,-83.05
44.069,-83.081
41.725,-83.15
44.126,-83.171
41.867,-83.2
41.8,-83.2
41.969,-83.208
41.766,-83.31
44.213,-83.371
44.115,-83.529
43.976,-83.576
43.821,-83.625
43.908,-83.742
43.825,-83.817
42.4,-86.5
42.4,-86.8
42.1,-86.8
41.8,-86.8
42.4,-87.1
42.1,-87.1
41.8,-87.1
42.4,-87.4
42.1,-87.4
41.8,-87.4
42.4,-87.7
43.957,-76.408
43.75,-76.518
43.443,-77.438
43.492,-78.387
43.775,-78.855
43.608,-79.017
43.517,-79.08
43.585,-79.312
44.737,-80.435
42.281,-81.671
