MonitoringLocationName,MonitoringLocationID,ActivityType,ActivityMediaName,ActivityStartDate,CharacteristicName,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType
Lake Erie,974,Field Msr/Obs,Surface Water,2022-08-20,"Temperature, water",,24.5,deg C,Actual
Lake Erie,974,Field Msr/Obs,Surface Water,2023-05-16,"Temperature, water",,14.5,deg C,Actual
Lake Erie,974,Field Msr/Obs,Surface Water,2024-08-14,"Temperature, water",,24,deg C,Actual
Lake Erie,974,Field Msr/Obs,Surface Water,2024-04-17,"Temperature, water",,10.19,deg C,Actual
Lake Erie,67,Field Msr/Obs,Surface Water,2022-08-15,"Temperature, water",,23.5,deg C,Actual
Lake Erie,67,Field Msr/Obs,Surface Water,2023-05-08,"Temperature, water",,11,deg C,Actual
Lake Erie,67,Field Msr/Obs,Surface Water,2024-08-21,"Temperature, water",,20.5,deg C,Actual
Lake Erie,937,Field Msr/Obs,Surface Water,2022-08-16,"Temperature, water",,23,deg C,Actual
Lake Erie,937,Field Msr/Obs,Surface Water,2023-05-11,"Temperature, water",,10.5,deg C,Actual
Lake Erie,937,Field Msr/Obs,Surface Water,2024-08-22,"Temperature, water",,20.5,deg C,Actual
Lake Ontario,55,Field Msr/Obs,Surface Water,2022-04-24,"Temperature, water",,3.5,deg C,Actual
Lake Ontario,55,Field Msr/Obs,Surface Water,2023-04-15,"Temperature, water",,3.5,deg C,Actual
Lake Erie,881,Field Msr/Obs,Surface Water,2022-08-20,"Temperature, water",,24.1,deg C,Actual
Lake Erie,881,Field Msr/Obs,Surface Water,2023-05-15,"Temperature, water",,15,deg C,Actual
Lake Erie,881,Field Msr/Obs,Surface Water,2024-08-14,"Temperature, water",,23.5,deg C,Actual
Lake Huron,99,Field Msr/Obs,Surface Water,2022-09-20,"Temperature, water",,21.5,deg C,Actual
Lake Huron,99,Field Msr/Obs,Surface Water,2024-08-27,"Temperature, water",,23,deg C,Actual
Lake Ontario,86,Sample-Routine,Surface Water,2022-04-25,"Temperature, water",,7.5,deg C,Actual
Lake Ontario,86,Field Msr/Obs,Surface Water,2023-04-14,"Temperature, water",,8,deg C,Actual
Lake Ontario,22,Field Msr/Obs,Surface Water,2022-04-26,"Temperature, water",,7,deg C,Actual
Lake Ontario,22,Field Msr/Obs,Surface Water,2022-08-10,"Temperature, water",,25.5,deg C,Actual
